Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
76  170  2  1  0.0042963364334293  0.0941980202682291  0  
77  172  2  1  0.0060548934095378  0.0018805628083640  0  
78  174  2  1  0.0074321826262229  0.0010557627552542  0  
79  176  2  1  0.0086138694159599  0.0008655559352073  0  
80  178  2  1  0.0096797680833826  0.0006304040192279  0  
81  181  3  1  0.0003342171215096  0.0025701591113202  0  
82  184  3  1  0.0011376179487506  0.0046410373294916  0  
83  187  3  1  0.0001909007807079  0.0016615341196659  0  
84  190  3  1  0.0003157654352654  0.0018000466505505  0  
85  193  3  1  0.0002939446049703  0.0018673959563707  0  
86  196  3  1  0.0002498130868772  0.0016988426161505  0  
87  199  3  1  0.0002718290712418  0.0016589364398258  0  
88  202  3  1  0.0002633690160519  0.0016245359028307  0  
89  205  3  1  0.0003395807443079  0.0017901047525441  0  
90  208  3  1  0.0002687321267144  0.0013979030164937  0  
91  211  3  1  0.0002897372203384  0.0013781406788444  0  
92  214  3  1  0.0004024205798806  0.0017149684840656  0  
93  217  3  1  0.0003359051353733  0.0015116416596042  0  
94  220  3  1  0.0003517502470492  0.0018458227526545  0  
95  223  3  1  0.0003017132946072  0.0015906893294596  0  
96  226  3  1  0.0004698479357914  0.0016586916903051  0  
97  229  3  1  0.0004768793056004  0.0014708243541911  0  
98  232  3  1  0.0004674632752076  0.0014659540175986  0  
99  235  3  1  0.0024837507634462  0.0035395382608320  0  
100  238  3  1  0.0006058573802561  0.0022310747572387  0  
